dimension,kappa_true,num_samples,seed,r_bar,banerjee,sra_two_step,cusf_converged,scipy_brentq,direct_likelihood,newton_iterations,newton_converged
256,50.0,10000,5,0.18811379942918074,49.916874437173576,49.91053210113164,49.91053210113164,49.91053210112753,49.91052586402685,2,True
256,50.0,10000,6,0.1882271880525251,49.94916397353432,49.942810409278636,49.942810409278636,49.942810409280874,49.942808397969756,2,True
256,50.0,10000,7,0.18843345305598982,50.00791250661002,50.00153848429775,50.00153848429775,50.00153848429526,50.00152844881708,2,True
256,50.0,10000,8,0.18766776924062292,49.789899426714534,49.78360113426124,49.78360113426124,49.78360113425946,49.78359750283734,2,True
256,50.0,10000,9,0.18879698667499548,50.1114880754853,50.105077893397485,50.105077893397485,50.10507789339698,50.105074301668196,2,True
256,50.0,10000,10,0.18839012971855607,49.99557197837248,49.98920225653022,49.98920225653022,49.989202256530376,49.98919425892608,2,True
256,50.0,10000,11,0.18841795395841288,50.00349756308269,49.99712507949259,49.99712507949259,49.99712507949364,49.99712186055187,2,True
256,50.0,10000,12,0.18807733591119435,49.90649165335633,49.900152925357794,49.900152925357794,49.90015292536022,49.900145858051545,2,True
256,50.0,10000,13,0.1880363002998723,49.89480750718609,49.88847283805986,49.88847283805986,49.88847283805875,49.8884635887849,2,True
256,50.0,10000,14,0.18952393211903043,50.31873379529666,50.312250909806885,50.312250909806885,50.312250909807815,50.312251773459664,2,True
256,50.0,10000,15,0.18982386495413578,50.404292378912345,50.39777934234512,50.39777934234512,50.39777934234431,50.397775942802696,2,True
256,50.0,10000,16,0.18711562933231507,49.632806428948015,49.62656238414204,49.62656238414204,49.62656238414313,49.6265551974076,2,True
256,50.0,10000,17,0.18887144405822337,50.13270728638183,50.126289681931674,50.126289681931674,50.12628968192946,50.1262844456448,2,True
256,50.0,10000,18,0.188371445717213,49.99025008255046,49.98388221478941,49.98388221478941,49.983882214788586,49.983874716864335,2,True
256,50.0,10000,19,0.18967288228839457,50.36121950706228,50.35472165946153,50.35472165946153,50.35472165946122,50.35471585363791,2,True
1024,50.0,10000,0,0.049656297511926906,50.97361429381579,50.97349262660096,50.973492626612085,nan,50.97347486129486,1,True
1024,50.0,10000,1,0.04989505977473367,51.21992988038821,51.219806452563525,51.219806452570836,nan,51.219807527115634,1,True
1024,50.0,10000,2,0.04961441846224873,50.93041219476567,50.930290834642314,50.93029083462737,nan,50.93024795219954,1,True
1024,50.0,10000,3,0.05037922664527469,51.719467666045894,51.71934061618359,51.71934061618647,nan,51.71930628275638,1,True
1024,50.0,10000,4,0.049746496058386075,51.06666423773174,51.066541907371345,51.066541907388824,nan,51.06650043548227,1,True
1024,50.0,10000,5,0.04959059678619872,50.90583818097375,50.905716995270886,50.905716995296906,nan,50.90570220711092,1,True
1024,50.0,10000,6,0.04961069261391427,50.92656866495104,50.926447332108324,50.926447332118606,nan,50.9264395572942,1,True
