statistic,null,p,n,quantile,value,method,reps,seed,tool_version
kappa_hat,uniform,128,10000,0.9,1.3806403812804533,closed_form,,,0.1.0
kappa_hat,uniform,128,10000,0.95,1.4105516989805365,closed_form,,,0.1.0
kappa_hat,uniform,128,10000,0.99,1.4671952108853834,closed_form,,,0.1.0
kappa_hat,uniform,256,50,0.5,36.88705293067927,closed_form,,,0.1.0
kappa_hat,uniform,256,50,0.9,39.09089695192667,closed_form,,,0.1.0
kappa_hat,uniform,256,50,0.95,39.72576794796278,closed_form,,,0.1.0
kappa_hat,uniform,256,50,0.99,40.928683993280316,closed_form,,,0.1.0
kappa_hat,uniform,256,70,0.5,30.996326472674088,closed_form,,,0.1.0
kappa_hat,uniform,256,70,0.9,32.825531640728805,closed_form,,,0.1.0
kappa_hat,uniform,256,70,0.95,33.35178231339373,closed_form,,,0.1.0
kappa_hat,uniform,256,70,0.99,34.348012183799554,closed_form,,,0.1.0
kappa_hat,uniform,256,100,0.5,25.822252857961487,closed_form,,,0.1.0
kappa_hat,uniform,256,100,0.9,27.332101359758557,closed_form,,,0.1.0
kappa_hat,uniform,256,100,0.95,27.766046366306536,closed_form,,,0.1.0
kappa_hat,uniform,256,100,0.99,28.586994678345896,closed_form,,,0.1.0
kappa_hat,uniform,256,500,0.5,11.45643489830268,closed_form,,,0.1.0
kappa_hat,uniform,256,500,0.9,12.114856996266214,closed_form,,,0.1.0
kappa_hat,uniform,256,500,0.95,12.303747086093715,closed_form,,,0.1.0
kappa_hat,uniform,256,500,0.99,12.660658115599077,closed_form,,,0.1.0
kappa_hat,uniform,256,700,0.5,9.676971009108172,closed_form,,,0.1.0
kappa_hat,uniform,256,700,0.9,10.232440302567522,closed_form,,,0.1.0
kappa_hat,uniform,256,700,0.95,10.391774182851359,closed_form,,,0.1.0
kappa_hat,uniform,256,700,0.99,10.69281209907904,closed_form,,,0.1.0
kappa_hat,uniform,256,1000,0.5,8.092897294655183,closed_form,,,0.1.0
kappa_hat,uniform,256,1000,0.9,8.557010528726002,closed_form,,,0.1.0
kappa_hat,uniform,256,1000,0.95,8.690126302952965,closed_form,,,0.1.0
kappa_hat,uniform,256,1000,0.99,8.941612587502341,closed_form,,,0.1.0
kappa_hat,uniform,256,10000,0.5,2.556919093121353,closed_form,,,0.1.0
kappa_hat,uniform,256,10000,0.9,2.7032700363543873,closed_form,,,0.1.0
kappa_hat,uniform,256,10000,0.95,2.745237418440083,closed_form,,,0.1.0
kappa_hat,uniform,256,10000,0.99,2.824512609988458,closed_form,,,0.1.0
kappa_hat,uniform,512,50,0.5,73.82974650331772,closed_form,,,0.1.0
kappa_hat,uniform,512,50,0.9,76.93619672946471,closed_form,,,0.1.0
kappa_hat,uniform,512,50,0.95,77.8269689805344,closed_form,,,0.1.0
kappa_hat,uniform,512,50,0.99,79.5099513460949,closed_form,,,0.1.0
kappa_hat,uniform,512,70,0.5,62.0376098235011,closed_form,,,0.1.0
kappa_hat,uniform,512,70,0.9,64.61653938672141,closed_form,,,0.1.0
kappa_hat,uniform,512,70,0.95,65.35536255346783,closed_form,,,0.1.0
kappa_hat,uniform,512,70,0.99,66.75041178769744,closed_form,,,0.1.0
kappa_hat,uniform,512,100,0.5,51.68083003065469,closed_form,,,0.1.0
kappa_hat,uniform,512,100,0.9,53.80984886455795,closed_form,,,0.1.0
kappa_hat,uniform,512,100,0.95,54.41935882828035,closed_form,,,0.1.0
kappa_hat,uniform,512,100,0.99,55.56971635013507,closed_form,,,0.1.0
kappa_hat,uniform,512,500,0.5,22.928046476384683,closed_form,,,0.1.0
kappa_hat,uniform,512,500,0.9,23.85674980335164,closed_form,,,0.1.0
kappa_hat,uniform,512,500,0.95,24.122284642310113,closed_form,,,0.1.0
kappa_hat,uniform,512,500,0.99,24.62301940164526,closed_form,,,0.1.0
kappa_hat,uniform,512,700,0.5,19.366704515954655,closed_form,,,0.1.0
kappa_hat,uniform,512,700,0.9,20.150209150577286,closed_form,,,0.1.0
kappa_hat,uniform,512,700,0.95,20.374208334339635,closed_form,,,0.1.0
kappa_hat,uniform,512,700,0.99,20.796591529023573,closed_form,,,0.1.0
kappa_hat,uniform,512,1000,0.5,16.19643223917024,closed_form,,,0.1.0
kappa_hat,uniform,512,1000,0.9,16.851086710329202,closed_form,,,0.1.0
kappa_hat,uniform,512,1000,0.95,17.038235612348196,closed_form,,,0.1.0
kappa_hat,uniform,512,1000,0.99,17.391116356074228,closed_form,,,0.1.0
kappa_hat,uniform,512,10000,0.5,5.117175417363072,closed_form,,,0.1.0
kappa_hat,uniform,512,10000,0.9,5.323617244047388,closed_form,,,0.1.0
kappa_hat,uniform,512,10000,0.95,5.382625184256143,closed_form,,,0.1.0
kappa_hat,uniform,512,10000,0.99,5.493877783220972,closed_form,,,0.1.0
kappa_hat,uniform,1024,50,0.5,147.7151756679275,closed_form,,,0.1.0
kappa_hat,uniform,1024,50,0.9,152.0977048214531,closed_form,,,0.1.0
kappa_hat,uniform,1024,50,0.95,153.3502444100664,closed_form,,,0.1.0
kappa_hat,uniform,1024,50,0.99,155.71187020698403,closed_form,,,0.1.0
kappa_hat,uniform,1024,70,0.5,124.12020076044456,closed_form,,,0.1.0
kappa_hat,uniform,1024,70,0.9,127.75912306001139,closed_form,,,0.1.0
kappa_hat,uniform,1024,70,0.95,128.79846478007076,closed_form,,,0.1.0
kappa_hat,uniform,1024,70,0.99,130.7572868314987,closed_form,,,0.1.0
kappa_hat,uniform,1024,100,0.5,103.39799738095283,closed_form,,,0.1.0
kappa_hat,uniform,1024,100,0.9,106.402460452569,closed_form,,,0.1.0
